"","GSM6205132","GSM6205136","GSM6205138","GSM6205140","GSM6205142","GSM6205144"
"CD8+_T_naive_PLP2",8.28980521947487,8.30352941626387,8.33236471993895,8.27728504797448,8.38017383763551,8.36147825242295
"CD8+_T_naive_FAM32A",8.33902853829716,8.35266910344062,8.41160451280195,8.3670675662621,8.52823676846677,8.45832288731221
"CD8+_T_naive_HMGN1",8.94620848064269,8.89494351503599,8.90532496300733,8.96022405857839,8.97623311325232,8.8461151521274
"CD8+_T_naive_ARPC3",9.04444749057978,9.11739772430919,9.15982959277267,9.18847194678742,9.25092840634074,9.2012675555204
"CD8+_T_naive_LAT",8.92702003413607,8.68555221372044,8.76504657775056,8.84887458031525,8.93436957733139,8.83713883023521
"CD8+_T_naive_LGALS1",8.20737849822098,8.17964220090738,8.18727697081241,8.30999539350183,8.16776973083984,8.2843247067555
"CD8+_T_naive_RIC3",8.28980521947486,8.32830846831886,8.37921207081826,8.25057208922444,8.47082190604382,8.41071305639235
"CD8+_T_naive_LSP1",8.57920229262981,8.51796004750197,8.61479279667389,8.60708518690655,8.80095555498131,8.71505878131879
"CD8+_T_naive_ACTB",10.3361701232547,10.233621681486,10.3740493620232,10.3354727116,10.6271294018387,10.5389717454713
"CD8+_T_naive_ABHD17A",8.32931731041506,8.30976419670843,8.27533055190619,8.2904583022057,8.14347833111085,8.34890247131208
"cDC2_EML4",7.5756633293789,7.54091041852804,7.48129983350789,7.53984750510282,7.28043971860812,7.57268996834417
"dnT_GRK6",8.65287213901826,8.45494435004993,8.49666589959579,8.96276012925824,8.70350837486797,8.45494435004993
"dnT_PRMT1",8.82689258386861,8.79769047608862,8.78954911815944,8.66684238082619,8.58457293658598,9.0557075001245
"MAIT_RORA",9.77328209917124,9.88298849517924,9.74312941370535,9.002402352468,9.50364298684801,9.34309661903815
"MAIT_RPLP2",13.301157022802,13.3707401701949,13.2774123205769,12.9261849417171,13.1501024983342,12.9966426313918
"MAIT_EIF6",8.95165525807058,8.8724497408726,8.89511900924244,8.66056859682027,8.78252248201315,9.10732221363326
"MAIT_TMX4",8.87032523158224,8.90032958163764,8.87800398554367,8.73572233498313,8.89496606723207,8.71760980107809
"MAIT_SKAP2",8.69246646656596,8.78542409227243,8.7339709048288,8.80715420150668,8.66056859682027,8.66056859682027
"MAIT_FCRL3",8.69246646656596,8.66056859682027,8.66327543384829,8.80715420150668,8.66056859682027,8.71760980107809
"MAIT_S100A6",10.218829358841,10.3852894199976,10.4607927050483,9.7098270668867,10.4796723648717,10.5489158272805
"MAIT_ZBTB38",8.75422134115687,8.84402051101376,8.79515112494125,8.94021005296063,8.74300565477378,8.71760980107809
"MAIT_ISCU",9.23765694186131,9.30672264698893,9.25069631871815,9.06202402715417,9.06484837406657,9.26870576621196
"MAIT_SELL",8.92505144448619,9.05716082813397,9.07108480180816,9.17434869269966,9.18767724301268,8.97321037919752
"MAIT_LGALS3",8.87032523158224,8.8150197747933,8.78421773110782,8.80715420150668,8.78252248201315,8.66056859682027
"MAIT_LEF1",8.78413496845508,8.75520854078294,8.71536081889444,8.80715420150668,8.66056859682027,8.66056859682027
"MAIT_MPZL3",8.72367430602401,8.84402051101377,8.82166402527678,8.73572233498313,8.78252248201315,8.77248122965552
"MAIT_CD27",9.10173170098717,9.17597116783875,9.19967879827834,9.06202402715417,9.24538043151664,9.19026942821913
"MAIT_LYST",8.92505144448619,8.98087525798024,8.96407076848284,8.8752155128877,8.93058060026129,8.92558521204301
"MAIT_CD44",9.54773029704566,9.70474053636199,9.59233729241534,9.59342039314167,9.50364298684801,9.26870573435949
"memory_B_IGHMhi_S100A6",8.97244769712961,9.19557300340564,9.30786062593319,8.879699186923,9.44299194046214,9.45297291464965
"memory_B_IGHMhi_SNX3",9.30268835714593,9.01541489395845,9.07657060580274,9.36755729817805,9.19690549927291,9.20662337036261
"memory_B_IGHMhi_MRPS6",8.94569447944467,8.71814094382812,8.74608212011329,8.85930626760685,8.83881979487338,8.7340885024623
"memory_B_IGHMhi_ANXA1",8.44500270559064,8.54285152400843,8.53243463540408,8.45050332351925,8.47307020569954,8.56708763194275
